id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
260152266,ВАО,Вторичка,Кирпичный,1965,7,55.8,40.2,6.0,Преображенская площадь,on foot,5,14500000
258469649,СЗАО,Вторичка,Панельный,1998,1,72.0,43.2,10.0,Митино,on foot,12,14500000
257175873,ЮЗАО,Вторичка,Панельный,1978,5,58.8,41.8,6.1,Новоясеневская,on foot,12,14450000
258581250,ЮАО,Вторичка,Блочный,1980,15,65.7,47.1,7.8,Орехово,on foot,10,14500000
254621217,ЦАО,Вторичка,Кирпичный,1960,2,51.1,39.0,6.0,Марьина роща,on foot,10,14500000
259147161,ЗАО,Вторичка,Кирпичный,1971,9,56.0,41.0,6.0,Багратионовская,on foot,8,14490000
250347543,ЮВАО,Вторичка,Панельный,2016,25,76.0,48.0,14.0,Некрасовка,on foot,3,14400000
250415364,САО,Вторичка,Панельный,1982,4,70.8,54.4,12.2,Ховрино,transport,7,14500000
259016782,НАО,Вторичка,Панельный,1994,3,64.0,39.0,9.0,Коммунарка,transport,10,14500000
259548503,НАО,Вторичка,Панельный,2012,8,75.9,50.0,12.0,Филатов Луг,transport,10,14700000
260319375,ЗАО,Вторичка,Монолитно-кирпичный,1994,7,60.0,47.4,9.1,Солнцево,on foot,11,14400000
259502855,ЮЗАО,Вторичка,Панельный,1994,16,66.7,31.0,19.0,Улица Скобелевская,on foot,10,14500000
260283917,САО,Вторичка,Кирпичный,1957,5,66.0,37.0,10.0,Коптево,on foot,12,14590000
257731792,НАО,Вторичка,Панельный,1994,9,71.9,43.8,21.4,Саларьево,on foot,10,14600000
240429726,ЗАО,Вторичка,Панельный,1968,3,59.0,41.0,6.0,Кунцевская,on foot,9,14900000
260553952,ЮЗАО,Вторичка,Панельный,1978,1,75.1,46.4,10.5,Новоясеневская,on foot,14,14900000
258801130,СВАО,Вторичка,Кирпичный,1961,4,54.0,40.0,6.0,Алексеевская,on foot,10,15000000
255067348,САО,Вторичка,Панельный,1981,7,62.2,44.9,6.4,Беломорская,on foot,8,15000000
258318495,ВАО,Вторичка,Панельный,1994,1,74.7,59.2,10.0,Соколиная гора,on foot,9,15014700
257502348,НАО,Вторичка,Панельный,1994,4,70.0,42.7,20.0,Коммунарка,transport,19,14490000
254927757,НАО,Вторичка,Монолитный,1994,15,84.0,48.0,12.5,Прокшино,on foot,10,15000000
239789906,СЗАО,Вторичка,Монолитный,2014,2,53.9,32.9,8.2,Тушинская,on foot,15,15038100
260404114,ЮВАО,Вторичка,Панельный,1996,3,81.1,48.4,8.5,Лермонтовский проспект,transport,3,15350000
247033443,ЗАО,Вторичка,Панельный,1971,7,64.0,42.8,7.0,Раменки,on foot,9,15400000
260343591,СЗАО,Вторичка,Панельный,2019,3,76.8,42.0,10.0,Пятницкое шоссе,on foot,20,15350000
257735097,СВАО,Вторичка,Блочный,1969,3,64.0,44.0,9.0,Улица Сергея Эйзенштейна,transport,3,15650000
256011596,ЗАО,Вторичка,Панельный,1969,5,60.0,38.0,6.0,Юго-Западная,on foot,11,15700000
256296652,ЮЗАО,Вторичка,Панельный,1994,12,83.4,48.5,10.2,Бульвар Дмитрия Донского,on foot,15,15890000
251715539,НАО,Вторичка,Панельный,1994,10,93.0,45.0,12.0,Бунинская аллея,transport,5,15800000
258246159,НАО,Вторичка,Монолитный,1994,7,94.0,49.0,13.0,Коммунарка,transport,10,16000000
259123319,ВАО,Вторичка,Монолитный,1994,21,70.0,35.0,25.0,Локомотив,on foot,13,15800000
259957533,ЮАО,Вторичка,Кирпичный,1965,6,56.0,34.1,8.5,Коломенская,on foot,10,16000000
260321212,НАО,Вторичка,Монолитный,2017,8,84.7,49.3,13.6,Рассказовка,on foot,10,16000000
257444810,СЗАО,Вторичка,Панельный,1981,11,64.0,39.0,9.7,Строгино,on foot,2,16299000
254870491,ЗАО,Вторичка,Монолитный,2017,17,75.94,43.0,15.3,Солнцево,on foot,5,16500000
250589822,ЮАО,Вторичка,Блочный,1997,11,75.0,43.3,10.2,Кантемировская,on foot,10,16500000
260095726,ЮЗАО,Вторичка,Кирпичный,1965,8,56.2,34.3,6.0,Новые Черемушки,on foot,12,16500000
251188396,САО,Вторичка,Монолитный,2002,1,70.8,43.1,9.9,Селигерская,transport,4,16600000
260030412,ЮЗАО,Вторичка,Блочный,1964,2,63.7,43.4,9.2,Калужская,on foot,15,16700000
260191070,САО,Вторичка,Панельный,2007,10,75.2,44.8,10.0,Селигерская,on foot,10,16400000
254870493,ЗАО,Вторичка,Монолитный,2017,2,81.29,47.0,15.3,Солнцево,on foot,5,16950000
255742664,ЗАО,Вторичка,Монолитный,2017,14,75.94,43.0,15.3,Солнцево,on foot,5,17000000
259761017,САО,Вторичка,Панельный,1972,6,62.8,42.6,9.4,Речной вокзал,on foot,11,17000000
